id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
495,In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","https://m.media-amazon.com/images/M/MV5BMTUwOGFiM2QtOWMxYS00MjU2LThmZDMtZDM2MWMzNzllNjdhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2008,107 min,7.9,"[{'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"7,757,130",,67.0,390334,Martin McDonagh,Colin Farrell,Brendan Gleeson,Ciarán Hinds,Elizabeth Berrington,R
496,The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,"https://m.media-amazon.com/images/M/MV5BMzQ5NGQwOTUtNWJlZi00ZTFiLWI0ZTEtOGU3MTA2ZGU5OWZiXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,87 min,7.9,"[{'name': 'Drama'}, {'name': 'Fantasy'}, {'name': 'Mystery'}]",,,,0,,,,174125,Richard Schenkman,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford,
497,Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2006,141 min,7.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"13,756,082",,89.0,154011,Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryô Kase,UA
498,The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.","https://m.media-amazon.com/images/M/MV5BMjAzODUwMjM1M15BMl5BanBnXkFtZTcwNjU2MjU2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2006,117 min,7.9,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Fantasy'}]",,,,0,"2,280,348",,64.0,107290,Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,R
499,Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",2012,127 min,7.9,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Fantasy'}]",,,,0,"124,987,023",,79.0,580708,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,U
500,Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"https://m.media-amazon.com/images/M/MV5BOGUwYTU4NGEtNDM4MS00NDRjLTkwNmQtOTkwMWMyMjhmMjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2009,87 min,7.9,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"21,002,919",,83.0,199696,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,PG
501,C.R.A.Z.Y.,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.","https://m.media-amazon.com/images/M/MV5BMTU3MDc2MjUwMV5BMl5BanBnXkFtZTcwNzQyMDAzMQ@@._V1_UY98_CR0,0,67,98_AL_.jpg",2005,129 min,7.9,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,,,81.0,31476,Jean-Marc Vallée,Michel Côté,Marc-André Grondin,Danielle Proulx,Émile Vallée,
502,Les choristes,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,"https://m.media-amazon.com/images/M/MV5BOGY1M2MwOTEtZDIyNi00YjNlLWExYmEtNzBjOGI3N2QzNTg5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,97 min,7.9,"[{'name': 'Drama'}, {'name': 'Music'}]",,,,0,"3,635,164",,56.0,57430,Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad,PG-13
503,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2008,126 min,7.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Sci-Fi'}]",,,,0,"318,412,101",,79.0,939644,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,UA
504,Shaun of the Dead,A man's uneventful life is disrupted by the zombie apocalypse.,"https://m.media-amazon.com/images/M/MV5BMTg5Mjk2NDMtZTk0Ny00YTQ0LWIzYWEtMWI5MGQ0Mjg1OTNkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,99 min,7.9,"[{'name': 'Comedy'}, {'name': 'Horror'}]",,,,0,"13,542,874",,76.0,512249,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis,UA
505,Gegen die Wand,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.","https://m.media-amazon.com/images/M/MV5BODBiNzYxNzYtMjkyMi00MjUyLWJkM2YtZjNkMDhhYmEwMTRiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",2004,121 min,7.9,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,,,78.0,51325,Fatih Akin,Birol Ünel,Sibel Kekilli,Güven Kiraç,Zarah Jane McKenzie,R
506,Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"https://m.media-amazon.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_UX67_CR0,0,67,98_AL_.jpg",2003,138 min,7.9,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"90,135,191",,84.0,419420,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,A
507,Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,142 min,7.9,"[{'name': 'Adventure'}, {'name': 'Family'}, {'name': 'Fantasy'}]",,,,0,"249,358,727",,82.0,552493,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths,U
508,Ying xiong,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","https://m.media-amazon.com/images/M/MV5BMWQ2MjQ0OTctMWE1OC00NjZjLTk3ZDAtNTk3NTZiYWMxYTlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",2002,120 min,7.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'History'}]",,,,0,"53,710,019",,85.0,173999,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang,PG-13
509,Hable con ella,Two men share an odd friendship while they care for two women who are both in deep comas.,"https://m.media-amazon.com/images/M/MV5BYmVmMGQ3NzEtM2FiNi00YThhLWFkZjYtM2Y0MjZjNGE4NzM0XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR1,0,67,98_AL_.jpg",2002,112 min,7.9,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Romance'}]",,,,0,"9,284,265",,86.0,104691,Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Leonor Watling,R
510,No Man's Land,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.","https://m.media-amazon.com/images/M/MV5BMGFkNjNmZWMtNDdiOS00ZWM3LWE1ZTMtZDU3MGQyMzIyNzZhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2001,98 min,7.9,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'War'}]",,,,0,"1,059,830",,84.0,44618,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,R
511,Cowboy Bebop: Tengoku no tobira,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.","https://m.media-amazon.com/images/M/MV5BMjYzYWM4YTItZjJiMC00OTM5LTg3NDgtOGQ2Njk2ZWNhN2QwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY98_CR0,0,67,98_AL_.jpg",2001,115 min,7.9,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Crime'}]",,,,0,"1,000,045",,61.0,42897,Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,U
512,The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","https://m.media-amazon.com/images/M/MV5BM2JkNGU0ZGMtZjVjNS00NjgyLWEyOWYtZmRmZGQyN2IxZjA2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",2002,119 min,7.9,"[{'name': 'Action'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"121,661,683",,68.0,508771,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,UA
513,Nueve reinas,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").","https://m.media-amazon.com/images/M/MV5BMTYxMDdlYjItMDVkYy00MjYzLThhMTYtYjIzZjZiODk1ZWRmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",2000,114 min,7.9,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"1,221,261",,80.0,49721,Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra,R
514,Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.","https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NTI4NF5BMl5BanBnXkFtZTcwNjk2NDA2OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2006,109 min,7.9,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Sci-Fi'}]",,,,0,"35,552,383",,84.0,465113,Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,A
515,Almost Famous,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"https://m.media-amazon.com/images/M/MV5BMzY1ZjMwMGEtYTY1ZS00ZDllLTk0ZmUtYzA3ZTA4NmYwNGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",2000,122 min,7.9,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"32,534,850",,90.0,252586,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand,A
516,Mulholland Dr.,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","https://m.media-amazon.com/images/M/MV5BYjBhZmViNTItMGExMy00MGNmLTkwZDItMDVlMTQ4ODVkYTMwXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UY98_CR1,0,67,98_AL_.jpg",2001,147 min,7.9,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"7,220,243",,85.0,322031,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,R
517,Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg",1999,92 min,7.9,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"245,852,179",,88.0,527512,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,U
518,Boogie Nights,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.","https://m.media-amazon.com/images/M/MV5BY2E2YWYxY2QtZmJmZi00MjJlLWFiYWItZTk5Y2IyMWQ1ZThhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1997,155 min,7.9,[{'name': 'Drama'}],,,,0,"26,400,640",,85.0,239473,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán,R
519,Mimi wo sumaseba,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","https://m.media-amazon.com/images/M/MV5BZDg0MWNmNjktMGEwZC00ZDlmLWI1MTUtMDBmNjQzMWM2NjBjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1995,111 min,7.9,"[{'name': 'Animation'}, {'name': 'Drama'}, {'name': 'Family'}]",,,,0,,,75.0,51943,Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,U
520,Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,"https://m.media-amazon.com/images/M/MV5BYTY4MTdjZDMtOTBiMC00MDEwLThhMjUtMjlhMjdlYTBmMzk3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY98_CR1,0,67,98_AL_.jpg",1994,102 min,7.9,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"2,201,126",,77.0,31590,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,A
521,True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.","https://m.media-amazon.com/images/M/MV5BMDViNjFjOWMtZGZhMi00NmIyLThmYzktODA4MzJhZDZhMDc5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",1993,119 min,7.9,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"12,281,500",,59.0,206918,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,R
522,Trois couleurs: Bleu,A woman struggles to find a way to live her life after the death of her husband and child.,"https://m.media-amazon.com/images/M/MV5BMjg5OGU4OGYtNTZmNy00MjQ1LWIzYzgtMTllMGY2NzlkNzYwXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UY98_CR2,0,67,98_AL_.jpg",1993,94 min,7.9,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Mystery'}]",,,,0,"1,324,974",,85.0,89836,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,U
523,Jûbê ninpûchô,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,"https://m.media-amazon.com/images/M/MV5BOTMyZGI4N2YtMzdkNi00MDZmLTg4NmItMzg0ODY5NjdhZjYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY98_CR1,0,67,98_AL_.jpg",1993,94 min,7.9,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Adventure'}]",,,,0,,,,34529,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,A
524,Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","https://m.media-amazon.com/images/M/MV5BN2I2N2Q1YmMtMzZkMC00Y2JjLWJmOWUtNjc2OTM2ZTk1MjUyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1993,144 min,7.9,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"36,948,322",,65.0,201000,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,A
525,Edward Scissorhands,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.","https://m.media-amazon.com/images/M/MV5BNDUxN2I5NDUtZjdlMC00NjlmLTg0OTQtNjk0NjAxZjFmZTUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1990,105 min,7.9,"[{'name': 'Drama'}, {'name': 'Fantasy'}, {'name': 'Romance'}]",,,,0,"56,362,352",,74.0,447368,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,U
526,My Left Foot: The Story of Christy Brown,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","https://m.media-amazon.com/images/M/MV5BYjdkNzA4MzYtZThhOS00ZDgzLTlmMDItNmY1ZjI5YjkzZTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1989,103 min,7.9,"[{'name': 'Biography'}, {'name': 'Drama'}]",,,,0,"14,743,391",,97.0,68076,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,U
527,Crimes and Misdemeanors,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,"https://m.media-amazon.com/images/M/MV5BYWY3N2EyOWYtNDVhZi00MWRkLTg2OTUtODNkNDQ5ZTIwMGJkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1989,104 min,7.9,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"18,254,702",,77.0,54670,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,PG-13
528,The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.","https://m.media-amazon.com/images/M/MV5BYTVjYWJmMWQtYWU4Ni00MWY3LWI2YmMtNTI5MDE0MWVmMmEzL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1987,119 min,7.9,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"76,270,454",,79.0,281842,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,A
529,Hannah and Her Sisters,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.","https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1986,107 min,7.9,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"40,084,041",,90.0,67176,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,PG-13
530,Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"https://m.media-amazon.com/images/M/MV5BMzIwM2IwYTItYmM4Zi00OWMzLTkwNjAtYWRmYWNmY2RhMDk0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1985,132 min,7.9,"[{'name': 'Drama'}, {'name': 'Sci-Fi'}]",,,,0,"9,929,135",,84.0,187567,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,U
531,This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","https://m.media-amazon.com/images/M/MV5BMTQ2MTIzMzg5Nl5BMl5BanBnXkFtZTgwOTc5NDI1MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",1984,82 min,7.9,"[{'name': 'Comedy'}, {'name': 'Music'}]",,,,0,"188,751",,92.0,128812,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,R
532,A Christmas Story,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.","https://m.media-amazon.com/images/M/MV5BOWMyNjE0MzEtMzVjNy00NjIxLTg0ZjMtMWJhNGI1YmVjYTczL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",1983,93 min,7.9,"[{'name': 'Comedy'}, {'name': 'Family'}]",,,,0,"20,605,209",,77.0,132947,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,U
533,The Blues Brothers,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.","https://m.media-amazon.com/images/M/MV5BYTdlMDExOGUtN2I3MS00MjY5LWE1NTAtYzc3MzIxN2M3OWY1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1980,133 min,7.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"57,229,890",,60.0,183182,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,U
534,Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,"https://m.media-amazon.com/images/M/MV5BMzdmY2I3MmEtOGFiZi00MTg1LWIxY2QtNWUwM2NmNWNlY2U5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",1979,96 min,7.9,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"45,700,000",,83.0,131436,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,R
535,All That Jazz,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.","https://m.media-amazon.com/images/M/MV5BZWE4N2JkNDUtZDU4MC00ZjNhLTlkMjYtOTNkMjZhMDAwMDMyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",1979,123 min,7.9,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Musical'}]",,,,0,"37,823,676",,72.0,28223,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,A
536,Dawn of the Dead,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.","https://m.media-amazon.com/images/M/MV5BMzc1YTIyNjctYzhlNy00ZmYzLWI2ZWQtMzk4MmQwYzA0NGQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1978,127 min,7.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Horror'}]",,,,0,"5,100,000",,71.0,111512,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,A
537,All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",1976,138 min,7.9,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,"70,600,000",,84.0,103031,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,U
538,La montaña sagrada,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.","https://m.media-amazon.com/images/M/MV5BN2IzM2I5NTQtMTIyMy00YWM2LWI1OGMtNjI0MWIyNDZkZGFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1973,114 min,7.9,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Fantasy'}]",,,,0,"61,001",,76.0,37183,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,R
539,Amarcord,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,"https://m.media-amazon.com/images/M/MV5BZDI2OTg2NDQtMzc0MC00MjRiLWI1NzAtMjY2ZDMwMmUyNzBiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1973,123 min,7.9,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Family'}]",,,,0,,,,39897,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,R
540,Le charme discret de la bourgeoisie,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.","https://m.media-amazon.com/images/M/MV5BYzQ5NjJiYWQtYjAzMC00NGU0LWFlMDYtNGFiYjFlMWI1NWM0XkEyXkFqcGdeQXVyODQ0OTczOQ@@._V1_UY98_CR4,0,67,98_AL_.jpg",1972,102 min,7.9,[{'name': 'Comedy'}],,,,0,"198,809",,93.0,38737,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,PG
541,"Aguirre, der Zorn Gottes","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.","https://m.media-amazon.com/images/M/MV5BMjRkY2VhYzMtZWQyNS00OTY2LWE5NTAtYjlhNmQyYzE5MmUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1972,95 min,7.9,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Biography'}]",,,,0,,,,52397,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,
